Unnamed: 0,FBPost,Label,clean_comment,sentiment_score,sentiment_label
275,"This is going to be dangerous to my credit card, isnt it?",N,go danger credit card isnt,0,Negative
276,"@ Leslie Cyr - Leslie have you tried downloading via your USB cable? You should be able to do that. Right, Kindle Users?!  Shouldnt she be able to download via the USB whether she has WiFi or not? Book to>>computer>>Kindle.  Help a fellow Kindle user out! :)",P,lesli cyr lesli tri download via usb cabl abl right kindl user shouldnt abl download via usb whether wifi book comput kindl help fellow kindl user,0,Negative
277,Love my Kindle.  I have bought a lot of books and also downloaded quite a few free books.  My daughter has a Kindle and we did the lending a book option.  Not all your books on Kindle are lendable so you need the check.  Everyone keep reading.,P,love kindl bought lot book also download quit free book daughter kindl lend book option book kindl lendabl need check everyon keep read,1,Positive
278,"Yep, its totally doable to download books to your computer than transfer to the Kindle via the USB cable.  People without wireless coverage have been doing it all along.  Directions are in the Kindle Users Guide.Also, folks who think Kindle book prices should be lower should talk to the publishers - theyre the ones who set the prices, especially the higher ones (youll note that on many books its noted that ""This price was set by the publisher"").",O,yep total doabl download book comput transfer kindl via usb cabl peopl without wireless coverag along direct kindl user guid also folk think kindl book price lower talk publish theyr one set price especi higher one youll note mani book note price set publish,0,Negative
279,Thnx for this post I just downloaded 12 new books for free! I love my Kindle my best travel companion :)),P,thnx post download new book free love kindl best travel companion,1,Positive
280,I love the old Classics (especially the FREE download).  Just finished reading The Count of Monte Cristo and now into Uncle Toms Cabin.  Hooray for Kindle!,P,love old classic especi free download finish read count mont cristo uncl tom cabin hooray kindl,1,Positive
281,"Love my kindle, my children got me this for my birthday last year.",P,love kindl children got birthday last year,1,Positive
282,"My hubby got me a kindle and I love it!!.  I can read books, magazines, etc..If you love to read this is definately something you should look into.",P,hubbi got kindl love read book magazin etc love read defin someth look,1,Positive
283,Thanks.  Just downloaded 23 books.  That will keep me busy for a while.  LOL,P,thank download book keep busi lol,1,Positive
284,I love kindle and love Nook color and bw nook. I enjoy 3 of them.,P,love kindl love nook color bw nook enjoy,1,Positive
285,"In order for this to be really useful to me, you need to give me a way to sort for similar tastes, like Netflix does, for instance.  Popular does not impress me.",P,order realli use need give way sort similar tast like netflix instanc popular impress,1,Positive
286,i am reading aesop fables,O,read aesop fabl,1,Positive
287,"@ Leslie, try going to a Starbucks or Panera Bread where wifi is free. Go to menu button and make sure wifi is turned on. Now go to shop kindle book store or NY times best sellers and start enjoying your kindle like the rest of us. Also you can type in your own selection. Hope this helps. Good Luck",P,lesli tri go starbuck panera bread wifi free go menu button make sure wifi turn go shop kindl book store ny time best seller start enjoy kindl like rest us also type select hope help good luck,1,Positive
288,After less than a year we are addicted to our Kindles.  We each have one so we sometimes trade.  We have read 87 books since we started.  We  dont have TV in our bedroom and go to bed at 9:00 and read til 11:00.  It is so easy to hold and easy to order new books and read immediately.  Easy to transport. Wonderful!,P,less year addict kindl one sometim trade read book sinc start dont tv bedroom go bed read til easi hold easi order new book read immedi easi transport wonder,1,Positive
289,Thank you!,P,thank,1,Positive
290,"Nice work Phyllis, you beat the absolute clown who posts spam on every Facebook page!",P,nice work phylli beat absolut clown post spam everi facebook page,1,Positive
291,Sent!,O,sent,1,Positive
292,"Now, if we could just have collections inside of collections, I would be ecstatic!",O,could collect insid collect would ecstat,1,Positive
293,I love this collection feature. I use it and really does help me find things quickly.,P,love collect featur use realli help find thing quickli,1,Positive
294,Do you know how to put an item back into archives and get it off the Droid?  I cant find this info anywhere.  :(,N,know put item back archiv get droid cant find info anywher,0,Negative
295,Now thats a great tip! Ive picked some books that were bloody awful which I was hoping to never catch sight of again!,N,that great tip ive pick book bloodi aw hope never catch sight,0,Negative
296,Thank you. I wondered about this but was too lazy to research the answer!,O,thank wonder lazi research answer,1,Positive
297,"To read epub books for nook etc just download calibre free ebook management program online to your PC which will convert them to mobi or tzw for kindle. ..(Blaine Z. Author of ""The Gaines Agenda"" and ""Weight Loss on your Nook or Kindle "" available on nook.com",O,read epub book nook etc download calibr free ebook manag program onlin pc convert mobi tzw kindl blain z author gain agenda weight loss nook kindl avail nook com,1,Positive
298,THANK YOU! Finally.,P,thank final,1,Positive
299,THANK YOU   I have been wondering how to do this!,P,thank wonder,1,Positive
300,"omg, im 12,and i flippin adore my kindle!!!<3 <3 <3 <3",P,omg im flippin ador kindl,0,Negative
301,"I use this feature, have a collection of classics I read with my homeschool students, and one for different genres just for myself.  Keeps me down to 2 pages rather than 18 or so.",O,use featur collect classic read homeschool student one differ genr keep page rather,1,Positive
302,I am glad to finally know how to do this!,P,glad final know,1,Positive
303,"Thanks for that tip, I knew there HAD to be a way to do it but I was at a loss as to how.",N,thank tip knew way loss,1,Positive
304,I have moved things to a collection but they still show as individual items too.  Am I missing something?  I would like to house my stuff in collections not both.,P,move thing collect still show individu item miss someth would like hous stuff collect,0,Negative
305,@Ginger KL: that would be GREAT :D,P,ginger kl would great,1,Positive
306,"Melodie - how are you moving them? Do you use the 5-way thing to hilite ""add to collection"" and then choose the collection? Thats the way I do it and the book always disappears from home and only appears in the collection.",O,melodi move use way thing hilit add collect choos collect that way book alway disappear home appear collect,1,Positive
307,Anyone know how to remove a free sample permanently?  Lets just say Im glad I got the sample.,P,anyon know remov free sampl perman let say im glad got sampl,1,Positive
308,I have the same issue as Melodie...,N,issu melodi,0,Negative
309,"@Melodie - at the top of your screen, you need to tell it to sort by collections.  Not by author, or most recent, or whatever.",O,melodi top screen need tell sort collect author recent whatev,1,Positive
310,@ Frances - you should be able to click left when its highlighted and that should give you the option to delete.,O,franc abl click left highlight give option delet,0,Negative
311,"I have a similar wish to Ginger. Id like to be able to put books into more than one collection. eg - Jane Eyre would be in Classic Novels, and Favourites.",P,similar wish ginger id like abl put book one collect eg jane eyr would classic novel favourit,0,Negative
312,Thanks!,O,thank,1,Positive
313,Janice - You can do that.  You just cant have collections inside of collections.  But you can send a book to as many collections as you like.,P,janic cant collect insid collect send book mani collect like,0,Negative
314,Janice - You can do that.  You just cant have collections inside of collections.  But you can send a book to as many collections as you like.,P,janic cant collect insid collect send book mani collect like,0,Negative
315,@Ann - to remove from my droid I just press and hold on the book title until a box opens and it will have some options.  One is to remove from device.  Hope this helps you!,O,ann remov droid press hold book titl box open option one remov devic hope help,0,Negative
316,"I have trouble getting things back into archive. Anyone know if I can keep both Kindles linked to the same Amazon account, but only have books go to one of them and not archive in the other? I want to get some stuff that my 14 year old son doesnt want/need in his archive and vice versa.",N,troubl get thing back archiv anyon know keep kindl link amazon account book go one archiv want get stuff year old son doesnt want need archiv vice versa,0,Negative
317,Any idea how to put a nook on the kindle from my computer? I have one on a disc into the computer and want to put on my kindle. How?? ,O,idea put nook kindl comput one disc comput want put kindl,0,Negative
318,Wish I could manage collections from Manage My Kindle and from Kindle for PC.,O,wish could manag collect manag kindl kindl pc,0,Negative
319,Finally!  Thanks!,O,final thank,1,Positive
320,"AND Remember to Get  The Real Life Crime Mystery  www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1 Learn what a U.S. Senator has to do with Drug Runners, and an x-Miami Beach Cop...  The State Attorney Knows... NOW So Will YOU",O,rememb get real life crime mysteri www amazon com circumstanti evid get florida bozarth ebook dp b fpz ref pd rhf p learn u senat drug runner x miami beach cop state attorney know,1,Positive
321,Can I have a collection of collections ? May be I should try it myself first ?,O,collect collect may tri first,1,Positive
322,I would just like to know how to put books I have already read into the archives. I read the instruction guide but could not find that. ,P,would like know put book alreadi read archiv read instruct guid could find,0,Negative
323,- Home page by CollectionUse your five way button move the cursor to the top of you home screen hit the right directional button and sort your Home page by Collection.  This will allow your Kindle to only display your books once (Collections & books on Home page).  When you enter a collection you will only be shown the books in that collection.,O,home page collectionus five way button move cursor top home screen hit right direct button sort home page collect allow kindl display book collect book home page enter collect shown book collect,0,Negative
324,Thank you for these tips!  As a novice user  they are appreciated.,P,thank tip novic user appreci,1,Positive
325,"and what if the book you want to perm delete doesnt show up in ""your orders""?  anyone else have this issue?",O,book want perm delet doesnt show order anyon els issu,0,Negative
326,Great.,P,great,1,Positive
327,Thank you for these tips,P,thank tip,1,Positive
328,"- Karen, Im guessing you mean book and not nook.  The nook and the Kindle dont interface.For a book, use your USB cable that came with the Kindle and attach it to you computer and reader.  Assuming here that you have a PC go to My Computer folder on your desktop and you should see a Kindle icon as if it was a USB flash drive or some other type of attached device.  Select the Kindle supported file(s) you have in your PC and drop them on the icon.  The files are now on your Kindle.",O,karen im guess mean book nook nook kindl dont interfac book use usb cabl came kindl attach comput reader assum pc go comput folder desktop see kindl icon usb flash drive type attach devic select kindl support file pc drop icon file kindl,0,Negative
329,"The big question is, how do I get rid of the samples once Ive bought the book?",N,big question get rid sampl ive bought book,1,Positive
330,The nook :(       the kindle :),O,nook kindl,1,Positive
331,"My Kindle is charged, but when I try to turn it on the green light comes on for a few seconds but will not come on. I just got this in Sept. New edition Kindle.",O,kindl charg tri turn green light come second come got sept new edit kindl,0,Negative
332,"Thanks,  I was wondering!",O,thank wonder,1,Positive
333,I LOVE this!! Thank you.,P,love thank,1,Positive
334,but how do I put into the archives when I am done reading?  no one has been able to answer me that.,O,put archiv done read one abl answer,0,Negative
335,I LOVE MY KINDLE!!!!!!!!!!!!!!!!,P,love kindl,1,Positive
336,"But what about Kindle content that no longer shows up in ""your orders"" because they were purchased so long ago??? I want to delete some of those books.  Please advise. Thank you. ",P,kindl content longer show order purchas long ago want delet book pleas advis thank,0,Negative
337,"@Sarah, if you highlight the title and then click to the right, one of the options will be ""remove from this device"".  That puts it in archives.  @Traepischke , highlight the title of the sample and then click to the right and choose ""delete""",P,sarah highlight titl click right one option remov devic put archiv traepischk highlight titl sampl click right choos delet,0,Negative
338,Yes! I love the create a collection feature. It makes it easier to find your books. Plus you can keep up better with what you have read if you have books iin all types of categories.,P,ye love creat collect featur make easier find book plu keep better read book iin type categori,1,Positive
339,How come this Does Not work for ALL books?  I still have 5 stuck on my kindle in Arcives grrrr,O,come work book still stuck kindl arciv grrrr,0,Negative
340,@Theri I have the same problem and cant figure it out either. The older books are archived but are not listed anywhere when I go online to manage your kindle. They do not show up at all. ,N,theri problem cant figur either older book archiv list anywher go onlin manag kindl show,0,Negative
341,"To delete a sample after purchasing the book:  highlight the sample on the Home page, rift select with the 5-way and select delete.  This permanently deleted the sample.",O,delet sampl purchas book highlight sampl home page rift select way select delet perman delet sampl,0,Negative
342,Thank God!,P,thank god,1,Positive
343,OMG! I just had a friend do this for me because I didnt have time to look it up. Kinda scary... are you monitoring me Kindle? Are you going to rule the world through mind reading? ;-) Im calling for govt restrictions here *tongue-in-cheek* Im really tired...,N,omg friend didnt time look kinda scari monitor kindl go rule world mind read im call govt restrict tongu cheek im realli tire,0,Negative
344,Thanks.  Ive been wondering about how to do that...,O,thank ive wonder,1,Positive
345,My kindle just received some type of update. Anyone know what this is?,O,kindl receiv type updat anyon know,1,Positive
346,I wanna know how to move something TO the archived items....???,O,wanna know move someth archiv item,0,Negative
347,thanks for the tip  i know there had to be way,O,thank tip know way,1,Positive
348,doesnt work on all files...,O,doesnt work file,0,Negative
349,Is it possible to have Amazon e-mail these tips to us?  It sure would be a help to me. :-),P,possibl amazon e mail tip us sure would help,1,Positive
350,Im glad they finally told us how to do this!,P,im glad final told us,1,Positive
351,"Yeah same problem here, it leaves some kind of link to the title you place in a collection, but I dont think two actual copies are stored, but access to same book via main menu and the collection you really wish it would show up and no where else!! : )  still love ya, Kindle!  ; )",O,yeah problem leav kind link titl place collect dont think two actual copi store access book via main menu collect realli wish would show els still love ya kindl,0,Negative
352,"I think it would be helpful if we could create our collections in Manage Your Kindle......then as we purchases them, we can move them into their correct collection.....",P,think would help could creat collect manag kindl purchas move correct collect,1,Positive
353,LOVE MY KINDLE!!,P,love kindl,1,Positive
354,I would like to be able to sub-categorize my collections. Also is there a way to search for only kindle audio books in the store? I would like to try an audio book on my kindle.,P,would like abl sub categor collect also way search kindl audio book store would like tri audio book kindl,0,Negative
355,"Fml I never knew what collections were for.  And I actually read the while PDF on my kindle, lol",O,fml never knew collect actual read pdf kindl lol,0,Negative
356,"If youve deleted a book through the Manage Your Kindle page and its still in your Archives, its probably because you havent turned on wireless since you deleted.  Your Kindle wont know its been permanently deleted until it can ""talk to the mothership"".",O,youv delet book manag kindl page still archiv probabl havent turn wireless sinc delet kindl wont know perman delet talk mothership,0,Negative
357,is there any way to alphabetize the collections on my Kindle? that would sure make searching easy!,P,way alphabet collect kindl would sure make search easi,1,Positive
358,Cant believe how much I love my Kindle!!,P,cant believ much love kindl,0,Negative
359,"how about when you delete from ""Manage your kindle"" and they still show up on the kindle???  I called Amazon this week - tech had no clue - deregistered my kindle and re-registered - told me hed look into it and call me back - its been almost a week - no call or anything.  I LOVE my Kindle, but its annoying to want something gone and cant get rid of it.",N,delet manag kindl still show kindl call amazon week tech clue deregist kindl regist told hed look call back almost week call anyth love kindl annoy want someth gone cant get rid,0,Negative
360,I saw the other day on FB we were to get a download when it went into sleep mode  -  if I did - no clue as to how/what or where.,O,saw day fb get download went sleep mode clue,0,Negative
361,Does anyone still read the original Kindle?  I still really like mine although I dont think I can play games on it.  Thats what the computer is for!,O,anyon still read origin kindl still realli like mine although dont think play game that comput,0,Negative
362,"My Kindle just got the upgrade, yippee! Page numbers at last!",O,kindl got upgrad yippe page number last,1,Positive
363,"to Janice, you should have received an email about the update with a link to detailed instructions.",O,janic receiv email updat link detail instruct,1,Positive
364,"Lori W.M. - Ive had this problem too!  I deleted titles from ""Manage your Kindle"" and not only did they continue to show up in my archived items, still available to download, but when I purchased a new Kindle, the deleted title showed up in my archives there too!  When I installed Kindle for PC, the deleted title again showed up in my archives.  The deleted title is no longer showing in ""Manage your Kindle"" but it wont go away from my archives!  Yuck!  Am I stuck forever with a bad story that I would rather forget?",N,lori w ive problem delet titl manag kindl continu show archiv item still avail download purchas new kindl delet titl show archiv instal kindl pc delet titl show archiv delet titl longer show manag kindl wont go away archiv yuck stuck forev bad stori would rather forget,0,Negative
365,"Nice, but will it help us download ebooks from other sources?  Mainers are still waiting for Kindle to adopt the technology that others have so people can download books through the state library website.  Hey, Amazon, Im a public library director and even though I love my Kindle, Im buying 2 or 3 Nooks next week for my library....no Kindles.  Sorry!",P,nice help us download ebook sourc mainer still wait kindl adopt technolog other peopl download book state librari websit hey amazon im public librari director even though love kindl im buy nook next week librari kindl sorri,0,Negative
366,That deletes it from the account too? :| I was just trying to get rid of stuff from the device.. Crap.,N,delet account tri get rid stuff devic crap,0,Negative
367,"- Janice  To see what version of the operating system that your Kindle has on it go to your Home screen, press the Menu button, select System, at the bottom right you will see the version number.  It will be something like 3.0.2 (xxxxxxx).  If your Kindle has the new OS it will read 3.1",P,janic see version oper system kindl go home screen press menu button select system bottom right see version number someth like xxxxxxx kindl new os read,0,Negative
368,"Agreed collections contain books, but the books are also contained outside of the collection folders, what then is the point of making a collection in the first place.  ",O,agre collect contain book book also contain outsid collect folder point make collect first place,1,Positive
369,"- Robyn CombsIf you look at the bottom of your Kindle there is a small hole.  This is a microphone, it is mentioned in the Users Manual.  Ill let you figure out the rest of the answer to your question.",O,robyn combsif look bottom kindl small hole microphon mention user manual ill let figur rest answer question,1,Positive
370,"I have many collection folders. Fav authors, classics, free downloads to try, books Reading, books read and info books. Its a lot easier to locate your books.To make a collection high light book then use the square button and press right side to move sideways. Then make a collection. Hope this helps ",P,mani collect folder fav author classic free download tri book read book read info book lot easier locat book make collect high light book use squar button press right side move sideway make collect hope help,1,Positive
371,Thank you so much for the very helpful instructions you post. I am learning more about my Kindle every time I read a post.,P,thank much help instruct post learn kindl everi time read post,1,Positive
372,Thank you for your explanation of Kindle.  I understood it. To Mr Joseph,P,thank explan kindl understood mr joseph,1,Positive
373,"I love my Kindle, but I really wish there was a way to manage my collections from the PC - its very tedious and time-consuming fiddling around with the buttons on the Kindle itself.",O,love kindl realli wish way manag collect pc tediou time consum fiddl around button kindl,0,Negative
374,I also have the same problem of deleted books still showing up in the archived items....and I have had my Kindle turned on wi-fi since they were deleted.,N,also problem delet book still show archiv item kindl turn wi fi sinc delet,0,Negative
375,1 is a sample No I dont want the book!  The others were free books I dont want. YES I had my WiFi on!  I tried EVERYTING to get rid of these books!,O,sampl dont want book other free book dont want ye wifi tri everyt get rid book,0,Negative
376,Thanks - this is a great tip!,P,thank great tip,1,Positive
377,"Thanks, thats just what Id been trying to find out how to do.",O,thank that id tri find,1,Positive
378,"Sabah Farheen Hasan,  you have your books in the wrong order.  If you go to the home page and with the five way go up to the very top it will come up and say ""Title, Author, Collections and Most Recent First"", if you put the highlight under Collections then the books will only show up in the collections.  Hope that helps!!!",O,sabah farheen hasan book wrong order go home page five way go top come say titl author collect recent first put highlight collect book show collect hope help,1,Positive
379,"Love this feature as I read so many different types of books. I have crochete, cook books, self help, samples to be read, etc. Kindle just keeps getting better. I have two.",P,love featur read mani differ type book crochet cook book self help sampl read etc kindl keep get better two,1,Positive
380,it is sooooo awesome.,P,sooooo awesom,1,Positive
381,"To the person who wanted audio books, you have already got them.  If you are in your book and you push the change font button it will show you a few different things and one of those things is called ""text to speech"" , most of our books are enabled to have this all you have to do is turn it on!! Hope I didnt just confuse you more!!!",O,person want audio book alreadi got book push chang font button show differ thing one thing call text speech book enabl turn hope didnt confus,0,Negative
382,? how to move something to the archived items list?,O,move someth archiv item list,0,Negative
383,OK I did all this and the books r still in my Archive-I want them outa there -they r gone from my orders section on amazon but still in my kindle -they didnt go away-Why??,O,ok book r still archiv want outa r gone order section amazon still kindl didnt go away,0,Negative
384,So how do you delete a document you have sent to your kindle?,O,delet document sent kindl,0,Negative
385,Why not just have a bin folder and put all unwanted books in there and dont look at them again after all the kindle holds 3500 books. Forget the ones you dont want and spend your time on the ones you do want ,N,bin folder put unwant book dont look kindl hold book forget one dont want spend time one want,0,Negative
386,One evening I forgot my Kindle at the office andI had to read one of my 1900 plus books. Do you believe that I needed two hands to turn the pages?,O,one even forgot kindl offic andi read one plu book believ need two hand turn page,0,Negative
387,Helen that Sounds ok But who wants Clutter on their eReader....Not me!  Thanks all....even tho didnt work!,O,helen sound ok want clutter eread thank even tho didnt work,0,Negative
388,All of my books disappeared completely.  Is there a way to get them back?,O,book disappear complet way get back,0,Negative
389,All of my books disappeared completely.  Is there a way to get them back?,O,book disappear complet way get back,0,Negative
390,The Timbuk2 sleeves are great.,P,timbuk sleev great,1,Positive
391,I <3 this sleeve. I have the green variant for my Kindle.,O,sleev green variant kindl,1,Positive
392,"I MADE myself a cover  and it sure dint cost me 20 bucks!  An being that I am a HORSE person ,  it has horses  of course!",O,made cover sure dint cost buck hors person hors cours,1,Positive
393,"Ive got one of these and love it. Ive also got the green variant, Johnny.",P,ive got one love ive also got green variant johnni,1,Positive
394,"@shirley, I thought you were gonna say it was made out of horse hair there for a second :-D",P,shirley thought gonna say made hors hair second,1,Positive
395,"Still cant believe that I won this sleeve in the sweepstakes and received it in the mail within days. Thanks, Amazon.",O,still cant believ sleev sweepstak receiv mail within day thank amazon,1,Positive
396,a must have for your Kindle its a protected investment you kno i love it I am gonna get mine really soon waiting on my bonus check. soon Ill be enjoying it been researching this. I think the Kindle is the best out there period. Cant wait I will be seeing Amazon soon thanks you rock,P,must kindl protect invest kno love gonna get mine realli soon wait bonu check soon ill enjoy research think kindl best period cant wait see amazon soon thank rock,1,Positive
397,I also made my own cover and it has bright flower and polka dots and everyone in the office wants me to make them one too.  Oh it didnt cost very much either.,P,also made cover bright flower polka dot everyon offic want make one oh didnt cost much either,0,Negative
398,I got this case for my husbands K3 and he really likes it.,P,got case husband k realli like,1,Positive
399,"Nice... was looking to get a cover. Would buy Amazons, but am vegan, so dont want leather... thanks.",P,nice look get cover would buy amazon vegan dont want leather thank,1,Positive
400,Does anyone know of a sleeve that can fit the Kindle latest generation with the Kindle lighted cover in it? I put it in my purse and crumbs or dirt can still get in or on the kindle!! Thanks!,N,anyon know sleev fit kindl latest gener kindl light cover put purs crumb dirt still get kindl thank,1,Positive
401,I want 1!!!!!!!  <3,O,want,0,Negative
402,I have this as well ... and I just love it!,P,well love,1,Positive
403,I have this cover and it works great. Loud when you open it though.,P,cover work great loud open though,0,Negative
404,"I have this one too.  Jeffs right -- it is loud, but its a great cover.",P,one jeff right loud great cover,1,Positive
405,I use this; it works for me.  I throw it in my backpack.,O,use work throw backpack,0,Negative
406,very nice but since I have the Amazon Kindle app (awesome) on my EVO I wonder if it would fit that?? Hmm,P,nice sinc amazon kindl app awesom evo wonder would fit hmm,1,Positive
407,I have it and the flap is too big. Kind of pricey.,O,flap big kind pricey,0,Negative
408,Works great.  Looks great.,P,work great look great,1,Positive
409,"I wonder if amazon will give me credit for the cover I bought with my Kindle that makes it ""glitchy""?",P,wonder amazon give credit cover bought kindl make glitchi,1,Positive
410,I have the nylon one and love it!  Doesnt seem too bulky; it still fits in the outside pocket of my purse.,P,nylon one love doesnt seem bulki still fit outsid pocket purs,0,Negative
411,I think $30 is about $20 too much.,O,think much,0,Negative
412,"I almost bought this one, but went with the M-Edge case and light that fits in the case.  Love it.",P,almost bought one went edg case light fit case love,1,Positive
413,This is what I use... and LOVE IT.,P,use love,1,Positive
414,This is the one I have. Love it!!,P,one love,1,Positive
415,Why cant they makle a cover that is not reasonably priced.,P,cant makl cover reason price,0,Negative
416,i like it but with shipping its $60 not paying that!!,P,like ship pay,0,Negative
417,"I have the BUILT Nuprene and its a amazing, I didnt want a zipper to scratch the kindle, and i didnt want velcro cause it makes too much noise and eventually they get old and dont work that well...This is the best thing since sliced bread!",P,built nupren amaz didnt want zipper scratch kindl didnt want velcro caus make much nois eventu get old dont work well best thing sinc slice bread,0,Negative
418,"Just buy a Belkin.  Its the same thing, but with a zipper.  I bought mine at Target for around $20.",O,buy belkin thing zipper bought mine target around,1,Positive
419,I have this one!  Violet and Barley.  Love it!,P,one violet barley love,1,Positive
420,Love mine! Worth the money.,P,love mine worth money,1,Positive
421,@David Noooo kidding.  You would think that competition would bring the price down to earth.,O,david noooo kid would think competit would bring price earth,0,Negative
422,LOVE MINE!!!!,P,love mine,1,Positive
423,nice of you to promote other peoples cases,P,nice promot peopl case,1,Positive
424,I have one and love it!!  Mine is in the camaflage tones though with pink binding   -  easy to spot when I put it down!,P,one love mine camaflag tone though pink bind easi spot put,1,Positive
425,The kindle used to come with a free case...just sayin.,P,kindl use come free case sayin,1,Positive
426,"I love all things Timbuk2. Own several bags, including a Kindle sleeve.",P,love thing timbuk sever bag includ kindl sleev,1,Positive
427,My Kindle Timbuk 2 sleeve only came to $24 w/shipping.  ??  It is perfect - padded and just what I wanted.,P,kindl timbuk sleev came w ship perfect pad want,0,Negative
428,I can probably sew one of these! Thanks for the idea!,O,probabl sew one thank idea,1,Positive
429,whats wrong with Amazons Own cover??,N,what wrong amazon cover,0,Negative
430,This is a great sleeve.,P,great sleev,1,Positive
431,My sister sewed me a Kindle sleeve much cuter (and cheaper) than this.,P,sister sew kindl sleev much cuter cheaper,1,Positive
432,No offense but all the sleeves for this product are a bit ugly.   Cant beat my lighted green leather case!,N,offens sleev product bit ugli cant beat light green leather case,1,Positive
433,I love mine!,P,love mine,1,Positive
434,"Was trying to manually download updates and had to call your service for help! The guy was inpatient-bordering on rude, could NOT understand him! I told him I was having trouble understanding what he was saying! I finally got the problem solved but next time I will hang up until I get someone that speaks ENGLISH!!",N,tri manual download updat call servic help guy inpati border rude could understand told troubl understand say final got problem solv next time hang get someon speak english,0,Negative
435,"I bought one a few months ago and LOVE it! I feel safe just tossing it into my backpack with all my textbooks, and Im confident my Kindle is protected. :) Great product!",P,bought one month ago love feel safe toss backpack textbook im confid kindl protect great product,1,Positive
436,Im intrigued I must say... I already have a case but this might be a good backup for rainy days.,P,im intrigu must say alreadi case might good backup raini day,1,Positive
437,I won one of these and its really nice!  Too bad I actually own a 2nd generation Kindle that wont fit in it.,O,one realli nice bad actual nd gener kindl wont fit,0,Negative
438,"Ive had the black version of the sleeve for about 14 mos. Love it. I dropped the sleeve with Kindle in it in the water while boarding our sailboat. It floated, and when it was fished out after about 4 min., it was bone dry inside!",P,ive black version sleev mo love drop sleev kindl water board sailboat float fish min bone dri insid,0,Negative
439,"Amen. Same thing happened to me twice. If I wanted to speak another language I would move. Its aggravating when something is not working, then to have to try to understand someone else try to explain how to fix it, not speak English. ",O,amen thing happen twice want speak anoth languag would move aggrav someth work tri understand someon els tri explain fix speak english,0,Negative
440,"Amen. Same thing happened to me twice. If I wanted to speak another language I would move. Its aggravating when something is not working, then to have to try to understand someone else try to explain how to fix it, not speak English. ",O,amen thing happen twice want speak anoth languag would move aggrav someth work tri understand someon els tri explain fix speak english,0,Negative
441,Have and love mine.  I much prefer reading naked (without the book like cover),P,love mine much prefer read nake without book like cover,1,Positive
442,already have it and love it!,P,alreadi love,1,Positive
443,Send me 1!!!,O,send,1,Positive
444,"@ Hayley Green- I put my Kindle lighted cover inside my Vera Bradley eBook cover.  I have a black Amazon lighted and want a different color but Im waiting for them to go on sale (hint, hint Amazon!) I wanted something colorful on the outside. I look at it as extra protection from bangs and bumps.",P,hayley green put kindl light cover insid vera bradley ebook cover black amazon light want differ color im wait go sale hint hint amazon want someth color outsid look extra protect bang bump,1,Positive
445,already have this one! love it,P,alreadi one love,1,Positive
446,"Love mine, its awesome!",P,love mine awesom,1,Positive
447,"I bought my hubby a kindle, and this is the holder he got for it.  Its great!",P,bought hubbi kindl holder got great,1,Positive
448,"I use the BUILT sleeve - no snaps, no zippers, no bulk.  Perfect.  JH",P,use built sleev snap zipper bulk perfect jh,1,Positive
449,love that Timbuk2 I got for my kindle!,P,love timbuk got kindl,1,Positive
450,I have one and dig it.,O,one dig,1,Positive
451,I have one also...the red and dark grey one...I love it,P,one also red dark grey one love,1,Positive
452,Can not buy it in Canada?,O,buy canada,0,Negative
453,"I love mine. The only thing is that when I bought it, they did not have much to choose from and I had to choose the ""the less ugly"" of the collection. But it is the best protection and it is not bulky. It fits in any of the purses I use perfectly.",P,love mine thing bought much choos choos less ugli collect best protect bulki fit purs use perfectli,1,Positive
454,I love my Timbuk2 Case. I have it in black!,P,love timbuk case black,1,Positive
455,This is the Timbuk2 case I purchased for my Kindle :) and I <3 the case and my Kindle :),P,timbuk case purchas kindl case kindl,1,Positive
456,"ok...  how do I get rid of this now?  No idea how it got there, no idea how to remove it.  Im not an advert!",N,ok get rid idea got idea remov im advert,0,Negative
457,Please remove. From my facebook thx,O,pleas remov facebook thx,1,Positive
458,I have one and love it,P,one love,1,Positive
459,Just ordered mine!,O,order mine,0,Negative
460,What about a reasonably priced one for those of us with a 2nd generation Kindle.....come on guys!!,P,reason price one us nd gener kindl come guy,0,Negative
461,"I bought the red/gray/black one of these for my K3. Love it except for one thing: you have to take the Kindle out to charge it or read. Otherwise, its a great cover.",P,bought red gray black one k love except one thing take kindl charg read otherwis great cover,1,Positive
462,I have a leather cover that I got for $20 and it came with a funky printed skin and a screen protector at no charge. Love it. $24 with shipping. ,P,leather cover got came funki print skin screen protector charg love ship,1,Positive
463,I have one from Gizmo Dorks & I love it!!!,P,one gizmo dork love,1,Positive
464,I love mine!,P,love mine,1,Positive
465,I love mine!,P,love mine,1,Positive
466,I much prefer the protective hard cover with the pull-out light in the corner.,P,much prefer protect hard cover pull light corner,0,Negative
467,i like the covers that look like a book,P,like cover look like book,1,Positive
468,"I have the larger version for the DX - the one major complaint is that the velcro is a bit loud when opening.  Otherwise, its great.",O,larger version dx one major complaint velcro bit loud open otherwis great,1,Positive
469,Got mine.  Love it.,P,got mine love,1,Positive
470,I like my case with the built-in light. Its so great for reading in bed at night.,P,like case built light great read bed night,1,Positive
471,I got one! Pink with camo!! Yeah baby. =) Very light and cute. Love it.,P,got one pink camo yeah babi light cute love,1,Positive
